ID,Treatment,Robber,Female,Age,Econ,RobbersChoice,DecisionTime,DGSent,UGSent,UGMTA,TGSent,TGReturn,Donation,CharityValue,Expectation,SelectedRobber,PayoffBeforeRob,PayoffAfterRob
36,1,0,1,28,1,-1,0,5,5,1,3,.2515476,25,10,3,0,8.75,5.95
37,1,0,1,19,0,-1,0,0,4,4,0,0,0,5,49.26,0,10.85,7.35
38,1,0,1,21,0,-1,0,5,4,4,4,.1719841,10,9,36.1,0,11.55,8.05
39,1,0,0,25,1,-1,0,0,0,3,0,0,0,1,13.6,0,12.6,8.75
40,0,0,1,20,0,-1,0,3,4,4,8,.1954365,1,5,36.9,0,10.15,9.45
41,1,0,0,23,0,-1,0,0,4,4,10,.0840278,0,3,39.3,0,10.85,7.35
42,0,0,1,31,0,-1,0,3,5,3,6,.2282341,5,10,42.26,0,9.8,4.9
43,1,0,1,19,1,-1,0,0,4,3,0,0,0,7,18.24,0,14,9.45
44,1,0,1,25,1,-1,0,8,5,1,2,.5,30,5,19.05,0,8.75,4.55
45,1,0,0,22,0,-1,0,5,5,5,10,.2577976,0,5,19.95,0,14,7
46,0,0,1,27,1,-1,0,3,5,1,8,.1596032,0,10,48.3,0,7,3.5
47,1,0,1,24,0,-1,0,5,5,3,5,.1810119,5,9,33.8,0,8.75,5.95
48,0,0,1,24,0,-1,0,0,4,4,5,0,0,5,45.75,0,13.3,6.65
49,1,0,1,24,0,-1,0,0,3,1,2,.1,1,5,31.76,0,11.2,7.7
50,1,0,0,25,0,-1,0,3,5,3,7,.4097818,0,5,29.5,0,7,3.5
51,1,0,0,27,0,-1,0,5,5,0,3,.525,35,4,35.25,0,8.75,5.95
52,0,0,0,22,1,-1,0,5,4,4,10,.2333333,0,2,36.4,0,14.35,9.8
53,0,0,1,21,0,-1,0,0,1,0,5,0,0,5,42.6,0,10.5,5.25
54,0,0,1,22,0,-1,0,0,3,3,0,0,0,5,49.83,0,10.5,5.25
55,1,0,0,20,1,-1,0,5,5,4,6,.2513492,5,9,29.3,0,8.75,5.95
56,1,0,0,17,1,-1,0,2,4,4,5,.2552183,0,3,29.6,0,9.45,6.65
57,1,0,1,21,0,-1,0,0,0,1,0,0,0,5,40.9,0,14,7
58,1,0,1,26,1,-1,0,1,4,3,6,0,1,3,5.15,0,13.3,12.25
59,1,0,1,23,1,-1,0,2,2,1,9,.1242063,0,7,36.5,0,9.45,6.65
60,1,0,1,19,0,-1,0,3,4,4,3,.2821032,10,5,34.7,0,14.35,9.8
61,1,0,0,22,0,-1,0,0,5,1,0,0,0,10,50,0,10.15,7
62,1,0,1,20,0,-1,0,2,5,1,4,.2767659,10,9,43.75,0,14,9.45
63,0,0,1,20,0,-1,0,5,5,4,3,.2093849,5,6,33.9,0,9.8,4.9
64,1,0,1,23,1,-1,0,5,5,5,3,.1771825,10,8,10.45,0,10.5,7.35
65,1,0,1,25,1,-1,0,4,5,4,3,.5,20,6,50,0,11.55,5.95
66,1,0,0,20,1,-1,0,1,5,9,1,.0761508,5,5,2.99,0,11.9,8.05
67,1,0,1,23,1,-1,0,0,5,5,3,.3535516,70,10,42.6,0,12.25,8.4
68,0,0,0,24,0,-1,0,4,5,7,3,.0428373,1,5,25.5,0,11.55,8.05
69,0,0,0,19,1,-1,0,5,5,3,6,.3902381,15,9,39.75,0,9.8,4.9
70,0,0,0,27,0,-1,0,0,0,5,0,0,0,5,30.25,0,11.55,10.5
71,1,0,0,21,0,-1,0,5,5,1,10,.05,5,8,43.8,0,13.65,7
72,0,0,0,29,0,-1,0,0,4,1,0,0,0,10,49.43,0,14.35,7.35
73,1,0,0,24,1,-1,0,0,7,3,0,0,0,1,44,0,10.85,5.6
74,1,0,1,21,0,-1,0,5,5,9,5,.5,10,9,35.8,0,12.25,8.4
75,0,0,1,20,1,-1,0,4,4,3,10,.3198611,60,9,29.2,0,9.8,4.9
76,0,0,0,19,1,-1,0,1,4,3,4,.1548214,0,6,39.5,0,10.5,7.35
77,0,0,1,24,0,-1,0,0,5,4,3,.0323611,5,9,48.41,0,10.15,5.25
78,1,0,1,19,1,-1,0,5,5,5,4,.4649405,10,7,35.2,0,8.05,7.35
79,1,0,1,30,0,-1,0,5,5,2,3,.2627183,0,6,43.45,0,9.45,6.65
80,1,0,0,18,1,-1,0,0,5,5,3,0,0,5,49.15,0,16.8,11.55
81,0,0,0,22,1,-1,0,0,4,1,5,.5,0,6,47.84,0,11.55,5.95
82,0,0,0,23,1,-1,0,1,4,1,3,.2571032,0,6,43.75,0,13.3,6.65
83,1,0,0,28,0,-1,0,2,5,5,3,.2809722,0,6,47.05,0,14,9.45
84,0,0,0,24,0,-1,0,0,5,3,1,.2916667,0,7,48.16,0,12.6,6.3
85,1,0,1,25,1,-1,0,2,3,4,2,0,0,1,27.9,0,11.55,8.05
86,1,0,0,21,1,-1,0,1,4,3,1,.1871825,1,5,41.25,0,13.65,7
87,0,0,1,27,0,-1,0,0,5,1,5,0,0,6,36.7,0,11.2,5.6
88,0,0,1,19,0,-1,0,1,5,1,4,.1871825,0,9,41.75,0,10.85,5.6
89,1,0,1,20,0,-1,0,1,5,5,2,.2030159,50,10,48.07,0,11.2,7.7
90,0,0,1,19,0,-1,0,0,4,2,2,0,0,10,38.79,0,16.1,8.05
91,1,0,0,19,0,-1,0,3,3,4,2,.130873,10,6,40.1,0,10.15,7
92,1,0,1,22,0,-1,0,0,5,3,3,.0547222,10,8,22.2,0,10.5,5.25
93,1,0,0,27,0,-1,0,1,5,5,3,.1927381,0,8,47.61,0,10.5,7.35
94,0,0,0,21,0,-1,0,0,5,2,3,.305,0,6,42.5,0,12.25,6.3
95,1,0,0,27,1,-1,0,1,5,3,2,0,0,6,27.1,0,12.6,8.75
96,0,0,1,29,0,-1,0,3,5,4,4,.1932937,0,7,47.15,0,8.4,4.2
97,0,0,1,18,1,-1,0,4,5,4,3,.4001587,10,8,23.77,0,13.3,12.25
98,1,0,1,22,0,-1,0,4,5,5,3,.2053175,40,8,26.05,0,11.9,5.95
99,1,0,1,19,0,-1,0,4,5,6,3,.3485516,20,8,45.45,0,9.1,8.4
100,0,0,1,23,1,-1,0,2,3,4,2,.3572421,2,3,39.2,0,11.55,8.05
101,0,0,1,20,0,-1,0,0,5,1,2,.1699603,0,10,45.45,0,13.65,7
102,0,0,1,25,0,-1,0,5,5,5,4,.2552976,0,10,11.3,0,11.2,5.6
103,0,0,0,18,0,-1,0,5,4,1,4,.3907937,5,10,48.86,0,9.8,4.9
104,0,0,0,22,0,-1,0,4,5,3,3,.2626984,5,3,40.8,0,11.9,5.95
105,1,0,1,19,0,-1,0,3,5,2,3,.1449008,3,5,34.95,0,10.5,9.45
106,0,0,0,21,1,-1,0,0,5,4,2,.5,1,5,38.05,0,13.3,6.65
107,0,0,0,21,1,-1,0,0,5,5,5,.0479167,15,5,39.75,0,10.15,9.45
108,1,0,0,25,1,-1,0,0,5,5,2,.2113492,0,1,42.6,0,10.5,7.35
109,0,0,0,34,1,-1,0,4,6,5,5,.3,2,6,14.11,0,8.75,8.05
110,0,0,0,26,1,-1,0,2,5,2,4,.2121825,5,7,16.75,0,14,9.45
111,1,0,0,26,1,-1,0,3,4,3,2,.1844841,5,4,31.8,0,10.5,5.25
112,1,0,0,22,0,-1,0,5,5,4,3,.2272421,0,8,45.45,0,9.1,6.3
113,0,0,0,24,1,-1,0,0,5,4,2,.1186508,5,3,37.05,0,11.55,5.95
114,1,0,1,24,1,-1,0,5,5,3,4,.5,10,6,14.6,0,8.4,4.2
115,1,0,0,22,0,-1,0,0,5,2,0,0,0,10,43,0,13.3,12.25
116,1,0,0,20,1,-1,0,1,3,1,0,0,0,5,47.51,0,13.3,12.25
117,0,0,0,24,1,-1,0,0,5,4,5,.1527579,0,3,23.9,0,12.95,11.9
118,0,0,0,18,1,-1,0,0,3,1,5,.0368056,10,5,32.9,0,13.65,9.45
119,1,0,0,26,0,-1,0,0,3,2,10,.1771825,0,2,32.77,0,10.15,5.25
120,0,0,0,25,0,-1,0,0,2,3,0,0,0,10,46.55,0,15.4,7.7
121,1,0,1,24,0,-1,0,0,5,1,3,.1928968,5,4,5.3,0,17.15,11.55
122,1,0,0,19,0,-1,0,2,2,1,3,.1803175,5,8,44.6,0,9.1,6.3
123,1,0,0,23,1,-1,0,4,2,2,10,.2397421,0,3,20.75,0,10.15,7
124,1,0,1,32,0,-1,0,5,5,5,10,.1771825,0,10,5.3,0,7,4.9
125,0,0,1,24,1,-1,0,2,5,4,1,0,0,5,45.52,0,16.8,8.4
126,1,0,1,21,0,-1,0,4,4,1,10,.2314087,1,10,16.09,0,8.75,5.95
127,1,0,0,19,0,-1,0,4,4,0,10,.2397421,10,6,19.9,0,11.2,7.7
128,1,0,1,20,0,-1,0,4,4,3,7,.3466667,10,6,25.5,0,8.75,5.95
129,1,0,1,24,1,-1,0,4,4,4,3,.2068254,0,10,43.45,0,10.85,7.35
130,1,0,0,22,0,-1,0,3,5,5,7,.2295238,1,4,26.71,0,9.45,4.9
131,1,0,0,22,1,-1,0,0,5,4,10,.2397421,0,8,24.56,0,10.85,7.35
132,0,0,1,20,0,-1,0,2,5,5,3,.3605159,1,10,45.45,0,11.9,5.95
133,1,0,1,23,1,-1,0,0,4,4,0,.2091865,0,5,21.55,0,14.35,7.35
134,1,0,1,20,0,-1,0,3,4,3,3,.1856548,10,7,36.9,0,11.2,5.6
135,0,0,1,19,0,-1,0,1,5,4,4,.1871825,0,1,39.5,0,14.35,12.95
136,1,0,0,25,0,-1,0,5,5,4,3,.5,0,3,30.35,0,10.15,7
137,1,0,0,22,1,-1,0,0,5,4,3,.2406349,10,6,32.4,0,12.95,8.75
138,1,0,1,23,0,-1,0,3,5,3,7,.2627183,0,10,43.75,0,9.45,6.65
139,0,0,0,23,0,-1,0,0,5,4,0,0,0,10,40.9,0,12.95,6.65
