;"Player";"Investment";"Pot";"Return";"Endowment_Inferred";"Subject";"Delta",
643;112;10;40;15;50;"RAS_004";0,54
653;61;8;32;14;20;"RAS_004";0,54
663;64;5;20;8;10;"RAS_004";0,54
673;102;2;8;1;10;"RAS_004";0,54
683;50;5;20;7;20;"RAS_004";0,54
693;94;4;16;8;5;"RAS_004";0,54
703;84;2;8;2;10;"RAS_004";0,54
713;88;5;20;6;20;"RAS_004";0,54
723;89;7;28;10;20;"RAS_004";0,54
733;80;2;8;2;10;"RAS_004";0,54
743;45;5;20;6;20;"RAS_004";0,54
753;59;9;36;11;50;"RAS_004";0,54
763;54;7;28;8;50;"RAS_004";0,54
773;72;10;40;12;50;"RAS_004";0,54
783;113;7;28;10;20;"RAS_004";0,54
793;58;2;8;3;5;"RAS_004";0,54
803;104;7;28;10;20;"RAS_004";0,54
813;47;10;40;13;50;"RAS_004";0,54
823;52;5;20;6;20;"RAS_004";0,54
833;65;2;8;3;5;"RAS_004";0,54
843;101;7;28;11;20;"RAS_004";0,54
853;42;2;8;1;10;"RAS_004";0,54
863;116;5;20;7;20;"RAS_004";0,54
873;105;10;40;12;50;"RAS_004";0,54
883;55;8;32;18;10;"RAS_004";0,54
893;97;10;40;8;50;"RAS_004";0,54
903;74;9;36;15;20;"RAS_004";0,54
913;46;10;40;11;50;"RAS_004";0,54
923;99;5;20;6;20;"RAS_004";0,54
933;43;8;32;11;20;"RAS_004";0,54
943;68;4;16;6;10;"RAS_004";0,54
953;51;10;40;19;20;"RAS_004";0,54
963;117;2;8;1;10;"RAS_004";0,54
973;120;2;8;2;10;"RAS_004";0,54
983;95;8;32;10;50;"RAS_004";0,54
993;66;2;8;3;5;"RAS_004";0,54
1003;49;4;16;5;20;"RAS_004";0,54
1013;63;2;8;2;10;"RAS_004";0,54
1023;92;2;8;2;10;"RAS_004";0,54
1033;100;8;32;8;50;"RAS_004";0,54
1043;107;8;32;11;20;"RAS_004";0,54
1053;48;9;36;9;50;"RAS_004";0,54
1063;76;4;16;5;20;"RAS_004";0,54
1073;77;10;40;10;50;"RAS_004";0,54
1083;103;8;32;9;50;"RAS_004";0,54
1093;119;4;16;5;20;"RAS_004";0,54
1103;108;2;8;3;5;"RAS_004";0,54
1113;83;5;20;6;20;"RAS_004";0,54
1123;57;4;16;4;20;"RAS_004";0,54
1133;118;2;8;2;10;"RAS_004";0,54
1143;71;2;8;2;10;"RAS_004";0,54
1153;109;2;8;2;10;"RAS_004";0,54
1163;111;9;36;10;50;"RAS_004";0,54
1173;44;4;16;5;20;"RAS_004";0,54
1183;62;8;32;11;20;"RAS_004";0,54
1193;73;7;28;9;20;"RAS_004";0,54
1203;114;10;40;17;20;"RAS_004";0,54
414;46;10;40;19;50;"RAS_005";0,66
424;100;8;32;16;50;"RAS_005";0,66
434;56;9;36;11;50;"RAS_005";0,66
444;54;7;28;14;20;"RAS_005";0,66
454;83;5;20;10;20;"RAS_005";0,66
464;93;9;36;18;50;"RAS_005";0,66
474;116;5;20;10;20;"RAS_005";0,66
484;106;2;8;4;10;"RAS_005";0,66
494;102;2;8;4;10;"RAS_005";0,66
504;91;2;8;4;10;"RAS_005";0,66
514;57;4;16;0;20;"RAS_005";0,66
524;63;2;8;4;10;"RAS_005";0,66
534;84;2;8;4;10;"RAS_005";0,66
544;107;8;32;16;50;"RAS_005";0,66
554;80;2;8;5;2;"RAS_005";0,66
564;85;9;36;21;20;"RAS_005";0,66
574;73;7;28;14;20;"RAS_005";0,66
584;105;10;40;20;50;"RAS_005";0,66
594;69;7;28;14;20;"RAS_005";0,66
604;65;2;8;4;10;"RAS_005";0,66
614;82;9;36;20;20;"RAS_005";0,66
624;109;2;8;4;10;"RAS_005";0,66
634;111;9;36;20;20;"RAS_005";0,66
644;97;10;40;20;50;"RAS_005";0,66
654;68;4;16;8;20;"RAS_005";0,66
664;49;4;16;8;20;"RAS_005";0,66
674;53;5;20;10;20;"RAS_005";0,66
684;76;4;16;8;20;"RAS_005";0,66
694;59;9;36;20;20;"RAS_005";0,66
704;44;4;16;8;20;"RAS_005";0,66
714;112;10;40;20;50;"RAS_005";0,66
724;110;7;28;14;20;"RAS_005";0,66
734;99;5;20;10;20;"RAS_005";0,66
744;71;2;8;4;10;"RAS_005";0,66
754;89;7;28;14;20;"RAS_005";0,66
764;98;2;8;4;10;"RAS_005";0,66
774;47;10;40;19;50;"RAS_005";0,66
784;61;8;32;11;50;"RAS_005";0,66
794;119;4;16;8;20;"RAS_005";0,66
804;50;5;20;10;20;"RAS_005";0,66
814;52;5;20;10;20;"RAS_005";0,66
824;115;8;32;16;50;"RAS_005";0,66
834;45;5;20;10;20;"RAS_005";0,66
844;118;2;8;4;10;"RAS_005";0,66
854;117;2;8;4;10;"RAS_005";0,66
864;41;4;16;8;20;"RAS_005";0,66
874;62;8;32;16;50;"RAS_005";0,66
884;48;9;36;20;20;"RAS_005";0,66
894;114;10;40;20;50;"RAS_005";0,66
904;87;9;36;20;20;"RAS_005";0,66
914;103;8;32;16;50;"RAS_005";0,66
924;90;2;8;4;10;"RAS_005";0,66
934;86;2;8;4;10;"RAS_005";0,66
944;64;5;20;10;20;"RAS_005";0,66
954;81;4;16;8;20;"RAS_005";0,66
964;77;10;40;20;50;"RAS_005";0,66
974;42;2;8;4;10;"RAS_005";0,66
984;75;8;32;16;50;"RAS_005";0,66
994;72;10;40;20;50;"RAS_005";0,66
1004;51;10;40;20;50;"RAS_005";0,66
1014;101;7;28;0;50;"RAS_005";0,66
1024;66;2;8;4;10;"RAS_005";0,66
1034;67;4;16;8;20;"RAS_005";0,66
1044;60;10;40;18;50;"RAS_005";0,66
1054;120;2;8;4;10;"RAS_005";0,66
1064;113;7;28;14;20;"RAS_005";0,66
1074;74;9;36;16;50;"RAS_005";0,66
1084;95;8;32;16;50;"RAS_005";0,66
1094;88;5;20;10;20;"RAS_005";0,66
1104;96;5;20;10;20;"RAS_005";0,66
1114;43;8;32;16;50;"RAS_005";0,66
1124;94;4;16;9;10;"RAS_005";0,66
1134;79;9;36;15;50;"RAS_005";0,66
1144;108;2;8;4;10;"RAS_005";0,66
1154;92;2;8;4;10;"RAS_005";0,66
1164;70;7;28;14;20;"RAS_005";0,66
1174;104;7;28;14;20;"RAS_005";0,66
1184;55;8;32;16;50;"RAS_005";0,66
1194;78;7;28;0;50;"RAS_005";0,66
1204;58;2;8;4;10;"RAS_005";0,66
415;110;7;28;12;20;"RAS_006";0,57
425;82;9;36;18;20;"RAS_006";0,57
435;112;10;40;20;20;"RAS_006";0,57
445;118;2;8;2;10;"RAS_006";0,57
455;84;2;8;4;5;"RAS_006";0,57
465;55;8;32;15;20;"RAS_006";0,57
