;"Player";"Endowment";"Investment";"Pot";"Return";"Subject";"Delta",
437;18;10;5;20;6;"RAS_014";0,44
438;26;10;1;4;0;"RAS_014";0,44
439;23;20;9;36;7;"RAS_014";0,44
440;28;10;2;8;0;"RAS_014";0,44
441;20;20;8;32;0;"RAS_016";0,37
442;10;5;1;4;1;"RAS_016";0,37
443;12;20;10;40;0;"RAS_016";0,37
444;29;5;5;20;10;"RAS_016";0,37
445;25;10;5;20;5;"RAS_016";0,37
446;27;2;1;4;1;"RAS_016";0,37
447;13;50;8;32;0;"RAS_016";0,37
448;15;20;7;28;5;"RAS_016";0,37
449;32;10;10;40;15;"RAS_016";0,37
450;28;10;2;8;1;"RAS_016";0,37
451;30;2;1;4;2;"RAS_016";0,37
452;38;20;7;28;5;"RAS_016";0,37
453;23;20;9;36;5;"RAS_016";0,37
454;9;10;5;20;5;"RAS_016";0,37
455;37;10;5;20;5;"RAS_016";0,37
456;14;10;4;16;4;"RAS_016";0,37
457;26;10;1;4;0;"RAS_016";0,37
458;16;10;9;36;10;"RAS_016";0,37
459;34;10;8;32;10;"RAS_016";0,37
460;1;10;5;20;5;"RAS_016";0,37
461;11;2;1;4;2;"RAS_016";0,37
462;22;50;7;28;8;"RAS_016";0,37
463;7;5;4;16;5;"RAS_016";0,37
464;18;10;5;20;5;"RAS_016";0,37
465;21;20;10;40;15;"RAS_016";0,37
466;36;50;9;36;9;"RAS_016";0,37
467;39;20;9;36;5;"RAS_016";0,37
468;6;10;5;20;10;"RAS_016";0,37
469;31;5;2;8;2;"RAS_016";0,37
470;5;20;4;16;3;"RAS_016";0,37
471;4;10;5;20;10;"RAS_016";0,37
472;3;10;5;20;5;"RAS_016";0,37
473;40;10;4;16;4;"RAS_016";0,37
474;2;20;8;32;5;"RAS_016";0,37
475;17;2;1;4;2;"RAS_016";0,37
476;35;50;10;40;8;"RAS_016";0,37
477;8;2;2;8;4;"RAS_016";0,37
478;33;10;7;28;10;"RAS_016";0,37
479;19;5;2;8;2;"RAS_016";0,37
480;24;20;5;20;2;"RAS_016";0,37
481;22;50;7;28;14;"RAS_017";0,6
482;29;5;5;20;10;"RAS_017";0,6
483;28;10;2;8;4;"RAS_017";0,6
484;19;5;2;8;4;"RAS_017";0,6
485;33;10;7;28;9;"RAS_017";0,6
486;11;2;1;4;2;"RAS_017";0,6
487;16;10;9;36;16;"RAS_017";0,6
488;6;10;5;20;10;"RAS_017";0,6
489;5;20;4;16;8;"RAS_017";0,6
490;14;10;4;16;8;"RAS_017";0,6
491;25;10;5;20;10;"RAS_017";0,6
492;15;20;7;28;14;"RAS_017";0,6
493;37;10;5;20;10;"RAS_017";0,6
494;31;5;2;8;4;"RAS_017";0,6
495;20;20;8;32;15;"RAS_017";0,6
496;4;10;5;20;10;"RAS_017";0,6
497;34;10;8;32;17;"RAS_017";0,6
498;1;10;5;20;10;"RAS_017";0,6
499;13;50;8;32;15;"RAS_017";0,6
500;3;10;5;20;10;"RAS_017";0,6
501;30;2;1;4;2;"RAS_017";0,6
502;36;50;9;36;14;"RAS_017";0,6
503;12;20;10;40;19;"RAS_017";0,6
504;24;20;5;20;10;"RAS_017";0,6
505;32;10;10;40;20;"RAS_017";0,6
506;39;20;9;36;18;"RAS_017";0,6
507;17;2;1;4;2;"RAS_017";0,6
508;2;20;8;32;15;"RAS_017";0,6
509;27;2;1;4;2;"RAS_017";0,6
510;26;10;1;4;1;"RAS_017";0,6
511;8;2;2;8;4;"RAS_017";0,6
512;9;10;5;20;10;"RAS_017";0,6
513;40;10;4;16;8;"RAS_017";0,6
514;23;20;9;36;18;"RAS_017";0,6
515;38;20;7;28;16;"RAS_017";0,6
516;10;5;1;4;1;"RAS_017";0,6
517;18;10;5;20;10;"RAS_017";0,6
518;7;5;4;16;8;"RAS_017";0,6
519;35;50;10;40;15;"RAS_017";0,6
520;21;20;10;40;20;"RAS_017";0,6
521;24;20;5;20;10;"RAS_018";0,48
522;23;20;9;36;10;"RAS_018";0,48
523;34;10;8;32;17;"RAS_018";0,48
524;1;10;5;20;5;"RAS_018";0,48
525;31;5;2;8;2;"RAS_018";0,48
526;21;20;10;40;15;"RAS_018";0,48
527;36;50;9;36;6;"RAS_018";0,48
528;18;10;5;20;5;"RAS_018";0,48
