,Subject,trust_group,RR,Investment
245,RAS_008,mid,0.25,2
246,RAS_008,hi,0.375,10
247,RAS_008,mid,0.28125,8
248,RAS_008,low,0.125,10
249,RAS_008,mid,0.25,5
250,RAS_008,mid,0.25,1
251,RAS_008,mid,0.25,7
252,RAS_008,hi,0.5,2
253,RAS_008,mid,0.25,1
254,RAS_008,hi,0.357142857142857,7
255,RAS_008,low,0,1
256,RAS_008,mid,0.125,2
257,RAS_008,mid,0.35,5
258,RAS_008,low,0.0357142857142857,7
259,RAS_008,mid,0.25,4
260,RAS_008,mid,0.277777777777778,9
261,RAS_008,hi,0.5,4
262,RAS_008,low,0,2
263,RAS_008,mid,0.305555555555556,9
264,RAS_008,mid,0.375,10
265,RAS_008,mid,0.5,5
266,RAS_008,mid,0.25,1
267,RAS_008,hi,0.5,8
268,RAS_008,mid,0.3,5
269,RAS_008,low,0,9
270,RAS_008,mid,0.25,8
271,RAS_008,mid,0.3,5
272,RAS_008,mid,0.3125,4
273,RAS_008,mid,0.107142857142857,7
274,RAS_008,low,0.05,5
275,RAS_008,mid,0.25,5
276,RAS_008,low,0,1
277,RAS_008,mid,0.35,5
278,RAS_008,hi,0.472222222222222,9
279,RAS_008,mid,0.25,1
280,RAS_008,mid,0.3,10
281,RAS_009,mid,0,5
282,RAS_009,hi,0.325,10
283,RAS_009,mid,0.25,1
284,RAS_009,mid,0.25,1
285,RAS_009,mid,0.25,1
286,RAS_009,hi,0.285714285714286,7
287,RAS_009,low,0.05,5
288,RAS_009,mid,0.25,2
289,RAS_009,low,0,2
290,RAS_009,hi,0.5,2
291,RAS_009,mid,0.25,1
292,RAS_009,mid,0.178571428571429,7
293,RAS_009,mid,0.1,5
294,RAS_009,hi,0.09375,8
295,RAS_009,low,0,7
296,RAS_009,mid,0.0833333333333333,9
297,RAS_009,mid,0.125,2
298,RAS_009,mid,0.1,5
299,RAS_009,low,0,10
300,RAS_009,mid,0.2,5
301,RAS_009,mid,0.25,10
302,RAS_009,low,0,4
303,RAS_009,mid,0.107142857142857,7
304,RAS_009,hi,0.416666666666667,9
305,RAS_009,low,0,1
306,RAS_009,hi,0.7,5
307,RAS_009,low,0,9
308,RAS_009,mid,0.25,5
309,RAS_009,mid,0.3,5
310,RAS_009,low,0,1
311,RAS_009,mid,0.125,8
312,RAS_009,hi,0.3125,4
313,RAS_009,mid,0.125,10
314,RAS_009,mid,0.166666666666667,9
315,RAS_009,mid,0,4
316,RAS_009,mid,0.2,5
317,RAS_009,mid,0.375,4
318,RAS_009,mid,0.4,5
319,RAS_009,mid,0.28125,8
320,RAS_009,low,0,8
321,RAS_010,low,0.375,10
322,RAS_010,mid,0.375,8
323,RAS_010,hi,0.527777777777778,9
324,RAS_010,mid,0.375,2
325,RAS_010,mid,0.4,5
326,RAS_010,mid,0.5,1
327,RAS_010,mid,0.375,10
328,RAS_010,mid,0.35,5
329,RAS_010,hi,0.4375,4
330,RAS_010,mid,0.5,5
331,RAS_010,mid,0.25,1
332,RAS_010,mid,0.375,4
333,RAS_010,mid,0.392857142857143,7
334,RAS_010,mid,0.416666666666667,9
335,RAS_010,mid,0.392857142857143,7
336,RAS_010,mid,0.375,4
337,RAS_010,hi,0.5,2
338,RAS_010,low,0.361111111111111,9
339,RAS_010,hi,0.4375,8
340,RAS_010,low,0.428571428571429,7
341,RAS_010,low,0.25,1
342,RAS_010,mid,0.34375,8
343,RAS_010,mid,0.5,5
344,RAS_010,hi,0.5,5
345,RAS_010,hi,0.428571428571429,7
346,RAS_010,mid,0.333333333333333,9
347,RAS_010,hi,0.5,10
348,RAS_010,mid,0.35,5
349,RAS_010,mid,0.25,1
350,RAS_010,mid,0.25,1
351,RAS_010,mid,0.375,2
352,RAS_010,mid,0.35,5
353,RAS_010,low,0.125,2
354,RAS_010,mid,0.35,5
355,RAS_010,low,0.25,1
356,RAS_010,mid,0.5,10
357,RAS_010,low,0.375,4
358,RAS_010,mid,0.35,5
359,RAS_010,low,0.15,5
360,RAS_010,low,0.0625,8
361,RAS_011,mid,0.25,1
362,RAS_011,hi,0.75,4
363,RAS_011,mid,0.6875,8
364,RAS_011,hi,0.75,5
365,RAS_011,mid,0.357142857142857,7
366,RAS_011,mid,0.444444444444444,9
367,RAS_011,mid,0.75,1
368,RAS_011,mid,0.5,5
369,RAS_011,hi,0.75,2
370,RAS_011,mid,0.375,2
371,RAS_011,mid,0.5,1
372,RAS_011,low,0.107142857142857,7
373,RAS_011,mid,0.444444444444444,9
374,RAS_011,low,0.75,4
375,RAS_011,mid,0.625,4
376,RAS_011,mid,0.4,5
377,RAS_011,low,0.25,10
378,RAS_011,low,0.5,5
379,RAS_011,hi,0.75,10
380,RAS_011,low,0.25,1
381,RAS_011,mid,0.5,5
382,RAS_011,mid,0.5,5
383,RAS_011,mid,0.5,8
384,RAS_011,mid,0.5,5
385,RAS_011,mid,0.5,5
386,RAS_011,mid,0.5,10
387,RAS_011,hi,0.75,8
388,RAS_011,mid,0.5,10
389,RAS_011,hi,0.777777777777778,9
390,RAS_011,mid,0.625,4
391,RAS_011,mid,0.535714285714286,7
392,RAS_011,low,0.25,2
393,RAS_011,mid,0.5,1
394,RAS_011,hi,0.678571428571429,7
395,RAS_011,mid,0.375,2
396,RAS_011,low,0.25,1
397,RAS_011,low,0.125,8
398,RAS_011,mid,0.4,5
399,RAS_011,low,0.111111111111111,9
