round,ppnr,groupid,ingroupid,bidnr,price,session,biddinground,currentprice,jump,decision,cv,signal,q5,q6,q7,q8,q9,q10,q11,q12,profit,firstjump,bidcount,entering,verdiensten
17,32,1,1,3,118,3,10,115,3,1,104,140,,,,,,,,,-16,110,4,1,-16
17,32,1,1,4,120,3,11,118,2,1,104,140,,,,,,,,,-16,110,4,1,-16
18,32,2,4,1,40,3,2,0,40,0,103,56,,,,,,,,,0,40,2,1,0
18,32,2,4,2,66,3,5,65,1,0,103,56,,,,,,,,,0,40,2,1,0
19,32,2,2,1,1,3,1,0,1,1,94,113,,,,,,,,,8,1,3,1,8
19,32,2,2,2,85,3,9,76,9,1,94,113,,,,,,,,,8,1,3,1,8
19,32,2,2,3,88,3,12,85,3,1,94,113,,,,,,,,,8,1,3,1,8
20,32,1,3,1,55,3,1,0,55,0,89,112,,,,,,,,,-11,55,1,1,0
21,32,1,3,1,100,3,3,25,75,1,105,168,,,,,,,,,-13,,3,0,-13
21,32,1,3,2,115,3,9,101,14,1,105,168,,,,,,,,,-13,,3,0,-13
21,32,1,3,3,125,3,14,115,10,1,105,168,,,,,,,,,-13,,3,0,-13
23,32,1,3,1,55,3,2,0,55,0,130,76,,,,,,,,,75,55,1,1,0
24,32,2,1,1,110,3,3,60,50,1,84,172,,,,,,,,,-34,,3,0,-34
24,32,2,1,2,115,3,7,110,5,1,84,172,,,,,,,,,-34,,3,0,-34
24,32,2,1,3,120,3,11,115,5,1,84,172,,,,,,,,,-34,,3,0,-34
25,32,1,4,1,80,3,2,0,80,0,97,109,,,,,,,,,-7,80,2,1,0
25,32,1,4,2,84,3,4,80,4,0,97,109,,,,,,,,,-7,80,2,1,0
26,32,2,5,1,53,3,1,0,53,0,124,77,,,,,,,,,-1,53,1,1,0
27,32,2,1,1,50,3,3,10,40,0,101,70,,,,,,,,,34,,1,0,0
28,32,1,1,1,60,3,4,25,35,0,105,92,,,,,,,,,14,,5,0,0
28,32,1,1,2,70,3,7,65,5,0,105,92,,,,,,,,,14,,5,0,0
28,32,1,1,3,81,3,10,80,1,0,105,92,,,,,,,,,14,,5,0,0
28,32,1,1,4,83,3,12,82,1,0,105,92,,,,,,,,,14,,5,0,0
28,32,1,1,5,84,3,13,83,1,0,105,92,,,,,,,,,14,,5,0,0
29,32,2,5,1,90,3,2,55,35,0,111,135,,,,,,,,,-14,,15,0,0
29,32,2,5,2,110,3,5,107,3,0,111,135,,,,,,,,,-14,,15,0,0
29,32,2,5,3,112,3,6,110,2,0,111,135,,,,,,,,,-14,,15,0,0
29,32,2,5,4,113,3,7,112,1,0,111,135,,,,,,,,,-14,,15,0,0
29,32,2,5,5,114,3,8,113,1,0,111,135,,,,,,,,,-14,,15,0,0
29,32,2,5,6,115,3,9,114,1,0,111,135,,,,,,,,,-14,,15,0,0
29,32,2,5,7,116,3,10,115,1,0,111,135,,,,,,,,,-14,,15,0,0
29,32,2,5,8,117,3,11,116,1,0,111,135,,,,,,,,,-14,,15,0,0
29,32,2,5,9,118,3,12,117,1,0,111,135,,,,,,,,,-14,,15,0,0
29,32,2,5,10,119,3,13,118,1,0,111,135,,,,,,,,,-14,,15,0,0
29,32,2,5,11,121,3,14,119,2,0,111,135,,,,,,,,,-14,,15,0,0
29,32,2,5,12,122,3,16,121,1,0,111,135,,,,,,,,,-14,,15,0,0
29,32,2,5,13,123,3,17,122,1,0,111,135,,,,,,,,,-14,,15,0,0
29,32,2,5,14,124,3,18,123,1,0,111,135,,,,,,,,,-14,,15,0,0
29,32,2,5,15,125,3,19,124,1,0,111,135,,,,,,,,,-14,,15,0,0
30,32,1,1,1,80,3,3,21,59,0,119,107,,,,,,,,,18,,6,0,0
30,32,1,1,2,82,3,6,80,2,0,119,107,,,,,,,,,18,,6,0,0
30,32,1,1,3,90,3,7,88,2,0,119,107,,,,,,,,,18,,6,0,0
30,32,1,1,4,94,3,10,93,1,0,119,107,,,,,,,,,18,,6,0,0
30,32,1,1,5,97,3,11,94,3,0,119,107,,,,,,,,,18,,6,0,0
30,32,1,1,6,100,3,13,99,1,0,119,107,,,,,,,,,18,,6,0,0
1,33,1,4,1,100,3,3,90,10,0,91,105,,,,,,,,,-18,,2,0,0
1,33,1,4,2,109,3,7,108,1,0,91,105,,,,,,,,,-18,,2,0,0
2,33,1,4,1,22,3,3,12,10,0,74,69,,,,,,,,,-16,,4,0,0
2,33,1,4,2,55,3,7,40,15,0,74,69,,,,,,,,,-16,,4,0,0
2,33,1,4,3,70,3,10,60,10,0,74,69,,,,,,,,,-16,,4,0,0
2,33,1,4,4,90,3,14,75,15,0,74,69,,,,,,,,,-16,,4,0,0
3,33,1,2,1,36,3,4,35,1,0,131,94,,,,,,,,,8,,3,0,0
3,33,1,2,2,75,3,11,70,5,0,131,94,,,,,,,,,8,,3,0,0
3,33,1,2,3,95,3,17,90,5,0,131,94,,,,,,,,,8,,3,0,0
4,33,2,1,1,100,3,2,10,90,0,89,100,,,,,,,,,-12,,1,0,0
5,33,1,5,1,100,3,4,13,87,1,88,148,,,,,,,,,-32,,2,0,-32
5,33,1,5,2,120,3,12,100,20,1,88,148,,,,,,,,,-32,,2,0,-32
6,33,2,2,1,80,3,2,40,40,0,137,148,,,,,,,,,12,,2,0,0
6,33,2,2,2,100,3,14,85,15,0,137,148,,,,,,,,,12,,2,0,0
7,33,2,5,1,100,3,3,5,95,0,89,127,,,,,,,,,-26,,1,0,0
8,33,2,1,1,100,3,2,95,5,0,154,168,,,,,,,,,-6,,2,0,0
8,33,2,1,2,119,3,6,111,8,0,154,168,,,,,,,,,-6,,2,0,0
9,33,1,1,1,65,3,1,0,65,0,119,71,,,,,,,,,37,65,2,1,0
9,33,1,1,2,72,3,11,70,2,0,119,71,,,,,,,,,37,65,2,1,0
10,33,2,5,1,50,3,2,0,50,0,56,43,,,,,,,,,5,50,1,1,0
11,33,1,5,1,100,3,2,47,53,0,97,119,,,,,,,,,-13,,4,0,0
11,33,1,5,2,103,3,11,101,2,0,97,119,,,,,,,,,-13,,4,0,0
11,33,1,5,3,106,3,14,105,1,0,97,119,,,,,,,,,-13,,4,0,0
11,33,1,5,4,110,3,15,106,4,0,97,119,,,,,,,,,-13,,4,0,0
12,33,1,2,1,100,3,1,0,100,0,98,121,,,,,,,,,-22,100,4,1,0
12,33,1,2,2,105,3,4,102,3,0,98,121,,,,,,,,,-22,100,4,1,0
12,33,1,2,3,110,3,8,108,2,0,98,121,,,,,,,,,-22,100,4,1,0
12,33,1,2,4,120,3,11,113,7,0,98,121,,,,,,,,,-22,100,4,1,0
13,33,2,1,1,100,3,4,53,47,0,118,117,,,,,,,,,7,,2,0,0
13,33,2,1,2,110,3,7,101,9,0,118,117,,,,,,,,,7,,2,0,0
14,33,1,4,1,100,3,3,20,80,0,102,94,,,,,,,,,-13,,1,0,0
15,33,2,2,1,50,3,1,0,50,0,90,44,,,,,,,,,-8,50,1,1,0
16,33,1,5,1,100,3,1,0,100,1,91,96,,,,,,,,,-7,100,1,1,-7
17,33,1,2,1,100,3,2,0,100,0,104,101,,,,,,,,,-16,100,1,1,0
18,33,2,3,1,100,3,1,0,100,0,103,94,,,,,,,,,0,100,1,1,0
19,33,2,4,1,75,3,1,0,75,0,94,73,,,,,,,,,8,75,1,1,0
20,33,1,4,1,103,3,2,55,48,1,89,103,,,,,,,,,-11,,1,0,-11
21,33,2,4,1,101,3,1,0,101,0,116,102,,,,,,,,,10,101,1,1,0
22,33,2,3,1,102,3,1,0,102,0,124,165,,,,,,,,,10,102,2,1,0
22,33,2,3,2,110,3,6,108,2,0,124,165,,,,,,,,,10,102,2,1,0
23,33,2,4,1,104,3,7,100,4,0,106,104,,,,,,,,,-15,,1,0,0
