period,subject,triangle,chooseup,numchooseupcircle,numchooseuptri,profit,partnerout,partnerin,allocateincoin0,allocateincoin1,allocateincoin2,sumcoinsallocatedin,totalprofit,normtriup,normadults,gameunequal,n_period,n_subjects,kindergarten,female,S_ID,I_ID
10,9,1,1,35,32,0,2,,,,,,5,0,0,1,13,10,1,0,40,4009
5,6,1,1,11,15,1,3,,,,,,2,1,1,0,13,10,0,1,32,3206
8,7,1,0,19,19,1,0,,,,,,6,0,1,0,13,10,1,1,10,1007
4,9,1,1,15,14,0,4,,,,,,2,0,0,1,13,10,1,0,40,4009
1,5,1,0,4,2,0,0,,,,,,0,1,1,1,13,10,1,1,48,4805
2,9,1,0,8,5,1,2,,,,,,1,0,0,0,13,10,1,0,41,4109
6,6,1,1,19,16,2,4,,,,,,6,1,0,1,13,10,0,0,94,6.06e+08
9,7,1,0,24,7,1,3,,,,,,5,0,0,0,13,8,1,0,21,2107
9,7,1,0,27,17,0,0,,,,,,5,0,0,1,13,10,1,0,25,2507
5,7,1,0,15,16,1,3,,,,,,2,1,1,0,13,10,1,0,45,4507
1,8,1,0,2,4,0,0,,,,,,0,1,1,0,13,10,1,0,19,1908
13,6,1,,25,35,3,1,9,1,1,1,3,9,1,1,0,13,10,0,1,32,3206
10,6,1,1,3,47,1,1,,,,,,9,1,1,0,13,10,0,0,30,3006
3,5,1,0,11,2,0,4,,,,,,2,0,1,0,13,10,0,1,42,4205
